model,rcp,mgm,windcase,score,resilience,score_01,res_01,dist
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w5,2.70440233674852,0.917985581335623,0.67610058418713,0.917985581335623,0.334121529436183
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w6,2.68175747905297,0.926002022421042,0.670439369763242,0.926002022421042,0.33776605763135
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w7,2.68324236034581,0.920696910673614,0.670810590086452,0.920696910673614,0.338606921925613
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w8,2.7026419893403,0.918579274171727,0.675660497335075,0.918579274171727,0.334403121371996
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w9,2.66777353472543,0.923559850589509,0.666943383681358,0.923559850589509,0.341715972871509
EC-EARTH_RACMO22E-r1,rcp45,BAU,w5,2.742180137691,0.898340135372134,0.68554503442275,0.898340135372134,0.33047942969623
EC-EARTH_RACMO22E-r1,rcp45,BAU,w6,2.69384276411485,0.8947116078506,0.673460691028713,0.8947116078506,0.343094106368576
EC-EARTH_RACMO22E-r1,rcp45,BAU,w7,2.69223399503221,0.893272004055751,0.673058498758052,0.893272004055751,0.343920936194082
EC-EARTH_RACMO22E-r1,rcp45,BAU,w8,2.72081787537023,0.879861939777971,0.680204468842557,0.879861939777971,0.341617235019228
EC-EARTH_RACMO22E-r1,rcp45,BAU,w9,2.65740581970184,0.894931652443622,0.66435145492546,0.894931652443622,0.351709117693703
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w5,2.71334065579066,0.918390965064859,0.678335163947665,0.918390965064859,0.331855844208929
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w6,2.68914224309408,0.912743006085453,0.67228556077352,0.912743006085453,0.339132034264723
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w7,2.69542412103878,0.924459822578974,0.673856030259695,0.924459822578974,0.334777847837585
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w8,2.71653270179363,0.923347011838893,0.679133175448407,0.923347011838893,0.329895740639144
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w9,2.66565790633749,0.92408882518393,0.666414476584372,0.92408882518393,0.342113735319753
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w5,2.75732271591957,0.850661220087201,0.689330678979893,0.850661220087201,0.344699141584278
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w6,2.69272228920887,0.86946361656342,0.673180572302218,0.86946361656342,0.35192426134242
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w7,2.68268129559309,0.86899708340983,0.670670323898273,0.86899708340983,0.354428835898548
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w8,2.76471801059348,0.870030287203203,0.69117950264837,0.870030287203203,0.335055556332066
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w9,2.6399743871723,0.888944633727327,0.659993596793075,0.888944633727327,0.357683727054597
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w5,2.86780849486525,0.842066881137267,0.716952123716312,0.842066881137267,0.324128015300152
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w6,2.79607098606515,0.862514596530533,0.699017746516287,0.862514596530533,0.330896589706355
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w7,2.77886684200087,0.865849850619306,0.694716710500218,0.865849850619306,0.333457867543518
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w8,2.89661955181078,0.866105530017603,0.724154887952695,0.866105530017603,0.306623963401847
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w9,2.70230492387279,0.880462909207246,0.675576230968198,0.880462909207246,0.345745423668912
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w5,2.85168824645204,0.919331095332043,0.71292206161301,0.919331095332043,0.29819660442207
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w6,2.8183390983928,0.91943888880067,0.7045847745982,0.91943888880067,0.306202952364714
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w7,2.80396426683154,0.918070199474498,0.700991066707885,0.918070199474498,0.310030376580484
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w8,2.83363656610418,0.924011799228458,0.708409141526045,0.924011799228458,0.301329446622918
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w9,2.78759296557204,0.923339553123293,0.69689824139301,0.923339553123293,0.312645966207764
EC-EARTH_RACMO22E-r1,rcp85,BAU,w5,2.88971781043111,0.880469090000391,0.722429452607777,0.880469090000391,0.302213578822912
EC-EARTH_RACMO22E-r1,rcp85,BAU,w6,2.82097144052525,0.885582087067469,0.705242860131313,0.885582087067469,0.316185436577027
EC-EARTH_RACMO22E-r1,rcp85,BAU,w7,2.84104771054248,0.884625299123609,0.71026192763562,0.884625299123609,0.311864509330163
EC-EARTH_RACMO22E-r1,rcp85,BAU,w8,2.887818156822,0.882850178693227,0.7219545392055,0.882850178693227,0.301717349353057
EC-EARTH_RACMO22E-r1,rcp85,BAU,w9,2.81933621603167,0.891103466001631,0.704834054007918,0.891103466001631,0.314613081085734
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w5,2.86835031949219,0.910954983696792,0.717087579873047,0.910954983696792,0.296594761232439
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w6,2.82515515856312,0.911875726470581,0.70628878964078,0.911875726470581,0.306646641389998
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w7,2.84884942334766,0.911877325681307,0.712212355836915,0.911877325681307,0.300977297917994
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w8,2.87093330229141,0.903436581555009,0.717733325572853,0.903436581555009,0.298326950297729
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w9,2.80127924431963,0.907463246089249,0.700319811079907,0.907463246089249,0.313641939886108
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w5,2.9284852990445,0.859040616664173,0.732121324761125,0.859040616664173,0.302702052186884
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w6,2.8335715943806,0.879204460431545,0.70839289859515,0.879204460431545,0.315636284304217
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w7,2.85020568363526,0.857157693969207,0.712551420908815,0.857157693969207,0.320983815812785
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w8,2.92408949928184,0.870715817192658,0.73102237482046,0.870715817192658,0.298434855155003
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w9,2.80354445550077,0.881035423519236,0.700886113875193,0.881035423519236,0.321903226653496
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w5,3.09028315322017,0.860952470772466,0.772570788305043,0.860952470772466,0.266567555633599
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w6,2.95125073337494,0.873155511470025,0.737812683343735,0.873155511470025,0.291258842416575
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w7,2.9439229205478,0.857734880832129,0.73598073013695,0.857734880832129,0.2999092179158
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w8,3.0921420617575,0.867665152237267,0.773035515439375,0.867665152237267,0.262726833772753
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w9,2.88487973909597,0.879655014863552,0.721219934773992,0.879655014863552,0.303646571222052
HadGEM2_CCLM,rcp45,ADAPTATION,w5,2.45741640676926,0.930642930331736,0.614354101692315,0.930642930331736,0.391833079249966
HadGEM2_CCLM,rcp45,ADAPTATION,w6,2.42258864578404,0.932352607629703,0.60564716144601,0.932352607629703,0.400112897780227
HadGEM2_CCLM,rcp45,ADAPTATION,w7,2.43117598798117,0.931837617501375,0.607793996995292,0.931837617501375,0.398084989896401
HadGEM2_CCLM,rcp45,ADAPTATION,w8,2.45022482468459,0.93020146860162,0.612556206171147,0.93020146860162,0.393680744210159
HadGEM2_CCLM,rcp45,ADAPTATION,w9,2.42818556422997,0.93444179999659,0.607046391057492,0.93444179999659,0.398384759207262
HadGEM2_CCLM,rcp45,BAU,w5,2.4586356889205,0.846648783638239,0.614658922230125,0.846648783638239,0.414734061509879
HadGEM2_CCLM,rcp45,BAU,w6,2.396732884364,0.860287997101515,0.599183221091,0.860287997101515,0.424468531235111
HadGEM2_CCLM,rcp45,BAU,w7,2.42383163198156,0.858063725858177,0.60595790799539,0.858063725858177,0.418825830374193
HadGEM2_CCLM,rcp45,BAU,w8,2.45161971921649,0.835412614869709,0.612904929804122,0.835412614869709,0.420632381913207
HadGEM2_CCLM,rcp45,BAU,w9,2.39447929021061,0.866849271009203,0.598619822552652,0.866849271009203,0.42288906757972
HadGEM2_CCLM,rcp45,BIOECONOMY,w5,2.43781620430944,0.877154288071997,0.60945405107736,0.877154288071997,0.409410804887931
HadGEM2_CCLM,rcp45,BIOECONOMY,w6,2.40665447290064,0.92362323874641,0.60166361822516,0.92362323874641,0.405592508196415
HadGEM2_CCLM,rcp45,BIOECONOMY,w7,2.42355883849604,0.921027340718719,0.60588970962401,0.921027340718719,0.401944774682051
HadGEM2_CCLM,rcp45,BIOECONOMY,w8,2.43189959342788,0.880823269538906,0.60797489835697,0.880823269538906,0.409739885051021
HadGEM2_CCLM,rcp45,BIOECONOMY,w9,2.40656979355367,0.921673555665982,0.601642448388418,0.921673555665982,0.405984939139353
HadGEM2_CCLM,rcp45,CONSERVATION,w5,2.4789155112993,0.818377186955813,0.619728877824825,0.818377186955813,0.421417812364939
HadGEM2_CCLM,rcp45,CONSERVATION,w6,2.40749669503436,0.89228616410311,0.60187417375859,0.89228616410311,0.4124396246289
HadGEM2_CCLM,rcp45,CONSERVATION,w7,2.41120839400864,0.824430653941734,0.60280209850216,0.824430653941734,0.434270386084079
HadGEM2_CCLM,rcp45,CONSERVATION,w8,2.47787254748374,0.835789068556683,0.619468136870935,0.835789068556683,0.414451117578369
HadGEM2_CCLM,rcp45,CONSERVATION,w9,2.43298660793519,0.870441872054354,0.608246651983797,0.870441872054354,0.412620884346254
HadGEM2_CCLM,rcp45,UNMANAGED,w5,2.54307259609891,0.813780291989916,0.635768149024727,0.813780291989916,0.409075324257323
HadGEM2_CCLM,rcp45,UNMANAGED,w6,2.47415225279947,0.877705448712225,0.618538063199867,0.877705448712225,0.400586028840231
HadGEM2_CCLM,rcp45,UNMANAGED,w7,2.45624163747859,0.822176943085367,0.614060409369647,0.822176943085367,0.424935768306681
HadGEM2_CCLM,rcp45,UNMANAGED,w8,2.5603898438499,0.816801205711698,0.640097460962475,0.816801205711698,0.40384605462273
HadGEM2_CCLM,rcp45,UNMANAGED,w9,2.45751137528831,0.86938621765949,0.614377843822077,0.86938621765949,0.407141753536289
HadGEM2_CCLM,rcp85,ADAPTATION,w5,2.54571264012457,0.951819429344089,0.636428160031143,0.951819429344089,0.366750392238467
HadGEM2_CCLM,rcp85,ADAPTATION,w6,2.50363966158906,0.954892910101125,0.625909915397265,0.954892910101125,0.376799735877331
HadGEM2_CCLM,rcp85,ADAPTATION,w7,2.51846383331209,0.951134931039501,0.629615958328023,0.951134931039501,0.373593540214206
HadGEM2_CCLM,rcp85,ADAPTATION,w8,2.54542149775415,0.949494620052772,0.636355374438538,0.949494620052772,0.367135134662089
HadGEM2_CCLM,rcp85,ADAPTATION,w9,2.5152305415344,0.952804694475247,0.6288076353836,0.952804694475247,0.374180662799522
HadGEM2_CCLM,rcp85,BAU,w5,2.47606704132703,0.879235190328353,0.619016760331757,0.879235190328353,0.399665320190705
HadGEM2_CCLM,rcp85,BAU,w6,2.39531328208926,0.897326104242922,0.598828320522315,0.897326104242922,0.414102215986442
HadGEM2_CCLM,rcp85,BAU,w7,2.44633218109259,0.880940517345842,0.611583045273148,0.880940517345842,0.406254712131635
HadGEM2_CCLM,rcp85,BAU,w8,2.47373970511014,0.881971819192039,0.618434926277535,0.881971819192039,0.399402750303083
HadGEM2_CCLM,rcp85,BAU,w9,2.41887993489229,0.897346816064387,0.604719983723072,0.897346816064387,0.40839192871555
HadGEM2_CCLM,rcp85,BIOECONOMY,w5,2.50242754582004,0.944353355533792,0.62560688645501,0.944353355533792,0.378505947787165
HadGEM2_CCLM,rcp85,BIOECONOMY,w6,2.45604460962126,0.949081619095273,0.614011152405315,0.949081619095273,0.389332854998691
HadGEM2_CCLM,rcp85,BIOECONOMY,w7,2.50375749009942,0.940599587006247,0.625939372524855,0.940599587006247,0.378747623214889
HadGEM2_CCLM,rcp85,BIOECONOMY,w8,2.52765514653102,0.946716587208002,0.631913786632755,0.946716587208002,0.371922818000993
HadGEM2_CCLM,rcp85,BIOECONOMY,w9,2.48894856925033,0.944467337072677,0.622237142312583,0.944467337072677,0.381822803535833
HadGEM2_CCLM,rcp85,CONSERVATION,w5,2.50651069432074,0.89181735044548,0.626627673580185,0.89181735044548,0.38872918568173
HadGEM2_CCLM,rcp85,CONSERVATION,w6,2.41847038582852,0.933182434166557,0.60461759645713,0.933182434166557,0.400988568584247
HadGEM2_CCLM,rcp85,CONSERVATION,w7,2.43901704740033,0.903640409693397,0.609754261850083,0.903640409693397,0.401966300562908
HadGEM2_CCLM,rcp85,CONSERVATION,w8,2.52991672507348,0.895281469634634,0.63247918126837,0.895281469634634,0.382148561168363
HadGEM2_CCLM,rcp85,CONSERVATION,w9,2.45098156723131,0.928345982991705,0.612745391807827,0.928345982991705,0.393827918918273
HadGEM2_CCLM,rcp85,UNMANAGED,w5,2.49276369048693,0.893834973320599,0.623190922621732,0.893834973320599,0.391479365592235
HadGEM2_CCLM,rcp85,UNMANAGED,w6,2.40099465735188,0.935700202600445,0.60024866433797,0.935700202600445,0.404889607558901
HadGEM2_CCLM,rcp85,UNMANAGED,w7,2.43950235063583,0.922255195527168,0.609875587658958,0.922255195527168,0.397795565242956
HadGEM2_CCLM,rcp85,UNMANAGED,w8,2.57064987047542,0.894454742141777,0.642662467618855,0.894454742141777,0.372598864067786
HadGEM2_CCLM,rcp85,UNMANAGED,w9,2.46604532822839,0.930442388002213,0.616511332057098,0.930442388002213,0.38974584003868
MPI_CCLM,rcp45,ADAPTATION,w5,2.6176199345391,0.92727296827992,0.654404983634775,0.92727296827992,0.353164460951684
MPI_CCLM,rcp45,ADAPTATION,w6,2.58992851679379,0.934372157496571,0.647482129198447,0.934372157496571,0.358574766187074
MPI_CCLM,rcp45,ADAPTATION,w7,2.59739267169357,0.926553466085966,0.649348167923392,0.926553466085966,0.35826121850218
MPI_CCLM,rcp45,ADAPTATION,w8,2.6266531477961,0.922560194560337,0.656663286949025,0.922560194560337,0.35196167688426
MPI_CCLM,rcp45,ADAPTATION,w9,2.59072052931695,0.934666179863393,0.647680132329237,0.934666179863393,0.358326383635347
MPI_CCLM,rcp45,BAU,w5,2.64993939926447,0.887103236326511,0.662484849816118,0.887103236326511,0.355896271196533
MPI_CCLM,rcp45,BAU,w6,2.59807573665692,0.897756801377574,0.64951893416423,0.897756801377574,0.365089919299235
MPI_CCLM,rcp45,BAU,w7,2.61460847344377,0.893063453874194,0.653652118360943,0.893063453874194,0.362480730540506
MPI_CCLM,rcp45,BAU,w8,2.65704866870516,0.88318885545379,0.66426216717629,0.88318885545379,0.355478179188761
